project,issue_status,issue_num,comment type,,,,
rasa,Open,#10820,Commented,,,,
rasa,Open,#10820,Commented,,,,
rasa,Open,#10820,Modified,,,,
rasa,Open,#10820,Modified,,,,
rasa,Open,#10820,Modified,,,,
rasa,Open,#10820,Modified,,,,
rasa,Closed,#6765,Commented,,,,
rasa,Closed,#6765,Modified,,,,
rasa,Closed,#6765,Modified,,,,
rasa,Closed,#6765,Modified,,,,
rasa,Closed,#6765,Solved,,,,
rasa,Closed,#6765,Solved,,,,
rasa,Open,#11414,Commented,,,,
rasa,Open,#11414,Commented,,,,
rasa,Open,#11414,Commented,,,,
rasa,Open,#11414,Commented,,,,
rasa,Open,#11414,Modified,,,,
rasa,Open,#11414,Modified,,,,
rasa,Closed,#10823,Commented,,,,
rasa,Closed,#10823,Modified,,,,
rasa,Closed,#10823,Modified,,,,
rasa,Closed,#10823,Modified,,,,
rasa,Closed,#10823,Modified,,,,
rasa,Closed,#10823,Solved,,,,
rasa,Closed,#10823,Solved,,,,
rasa,Closed,#10823,Closed,,,,
rasa,Open,#10803,Commented,,,,
rasa,Open,#10803,Commented,,,,
rasa,Open,#10803,Commented,,,,
rasa,Open,#10803,Modified,,,,
rasa,Open,#10803,Modified,,,,
rasa,Open,#10803,Modified,,,,
rasa,Closed,#10399,Commented,,,,
rasa,Closed,#10399,Commented,,,,
rasa,Closed,#10399,Modified,,,,
rasa,Closed,#10399,Modified,,,,
rasa,Closed,#10399,Modified,,,,
rasa,Closed,#10399,Solved,,,,
rasa,Closed,#10399,Solved,,,,
rasa,Closed,#10399,Closed,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Modified,,,,
rasa,Closed,#10102,Modified,,,,
rasa,Closed,#10102,Closed,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Modified,,,,
rasa,Closed,#6771,Modified,,,,
rasa,Closed,#6771,Modified,,,,
rasa,Closed,#6771,Closed,,,,
carla,Open,#5674,Commented,,,,
carla,Open,#5643,Commented,,,,
carla,Open,#5643,Modified,,,,
carla,Open,#5643,Commented,,,,
carla,Open,#5643,Commented,,,,
carla,Open,#5678,Commented,,,,
carla,Open,#5678,Commented,,,,
carla,Open,#5678,Commented,,,,
carla,Open,#5678,Commented,,,,
carla,Open,#5627,Commented,,,,
carla,Open,#5627,Commented,,,,
carla,Open,#5584,Commented,,,,
carla,Open,#5584,Commented,,,,
rasa,Closed,#6568,Commented,,,,
rasa,Closed,#6568,Commented,,,,
rasa,Closed,#6568,Commented,,,,
rasa,Closed,#6568,Commented,,,,
rasa,Closed,#6568,Commented,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Closed,,,,
rasa,Closed,#6156,Commented,,,,
rasa,Closed,#6156,Commented,,,,
rasa,Closed,#6156,Commented,,,,
rasa,Closed,#6156,Modified,,,,
rasa,Closed,#6156,Modified,,,,
rasa,Closed,#6156,Closed,,,,
rasa,Closed,#6156,Modified,,,,
carla,Open,#5643,Commented,,,,
carla,Open,#5643,Modified,,,,
carla,Open,#5643,Commented,,,,
carla,Open,#5643,Commented,,,,
carla,Open,#5579,Commented,,,,
carla,Open,#5574,Commented,,,,
carla,Open,#5574,Commented,,,,
carla,Open,#5561,Commented,,,,
carla,Open,#5303,Commented,,,,
carla,Open,#5303,Commented,,,,
carla,Open,#5303,Commented,,,,
carla,Open,#5455,Commented,,,,
carla,Open,#5455,Commented,,,,
carla,Open,#5455,Modified,,,,
alan-sdk-web,Open,#49,Commented,,,,
alan-sdk-web,Open,#49,Commented,,,,
alan-sdk-web,Closed,#55,Commented,,,,
alan-sdk-web,Closed,#55,Commented,,,,
alan-sdk-web,Closed,#55,Closed,,,,
alan-sdk-web,Closed,#55,Modified,,,,
alan-sdk-web,Closed,#48,Commented,,,,
alan-sdk-web,Closed,#48,Commented,,,,
alan-sdk-web,Closed,#48,Closed,,,,
alan-sdk-web,Closed,#33,Commented,,,,
alan-sdk-web,Closed,#33,Commented,,,,
alan-sdk-web,Closed,#33,Modified,,,,
alan-sdk-web,Closed,#33,Closed,,,,
alan-sdk-web,Closed,#30,Commented,,,,
alan-sdk-web,Closed,#30,Commented,,,,
alan-sdk-web,Closed,#30,Modified,,,,
alan-sdk-web,Closed,#30,Closed,,,,
alan-sdk-web,Closed,#18,Commented,,,,
alan-sdk-web,Closed,#18,Commented,,,,
alan-sdk-web,Closed,#18,Commented,,,,
alan-sdk-web,Closed,#18,Modified,,,,
alan-sdk-web,Closed,#18,Closed,,,,
alan-sdk-web,Closed,#29,Commented,,,,
alan-sdk-web,Closed,#29,Commented,,,,
alan-sdk-web,Closed,#29,Modified,,,,
alan-sdk-web,Closed,#29,Closed,,,,
lightning,Closed,#13915,Commented,,,,
lightning,Closed,#13915,Commented,,,,
lightning,Closed,#13915,Commented,,,,
lightning,Closed,#13915,Commented,,,,
lightning,Closed,#13915,Modified,,,,
lightning,Closed,#13915,Modified,,,,
lightning,Closed,#13915,Modified,,,,
lightning,Closed,#13915,Closed,,,,
lightning,Open,#13520,Commented,,,,
lightning,Open,#13520,Commented,,,,
lightning,Open,#13520,Commented,,,,
lightning,Open,#13520,Commented,,,,
lightning,Open,#13520,Commented,,,,
lightning,Open,#13520,Commented,,,,
lightning,Open,#13520,Commented,,,,
lightning,Open,#13520,Modified,,,,
lightning,Open,#13520,Modified,,,,
lightning,Open,#13520,Modified,,,,
lightning,Open,#13520,Modified,,,,
lightning,Open,#13520,Modified,,,,
lightning,Open,#13511,Commented,,,,
lightning,Open,#13511,Commented,,,,
lightning,Open,#13511,Commented,,,,
lightning,Open,#13511,Modified,,,,
lightning,Open,#13511,Modified,,,,
lightning,Open,#13511,Modified,,,,
lightning,Open,#13496,Commented,,,,
lightning,Open,#13496,Commented,,,,
lightning,Open,#13496,Modified,,,,
lightning,Open,#13496,Modified,,,,
lightning,Open,#13496,Modified,,,,
lightning,Open,#13507,Commented,,,,
lightning,Open,#13507,Commented,,,,
lightning,Open,#13507,Modified,,,,
lightning,Open,#13507,Modified,,,,
lightning,Closed,#13942,Commented,,,,
lightning,Closed,#13942,Commented,,,,
lightning,Closed,#13942,Commented,,,,
lightning,Closed,#13942,Commented,,,,
lightning,Closed,#13942,Commented,,,,
lightning,Closed,#13942,Modified,,,,
lightning,Closed,#13942,Modified,,,,
lightning,Closed,#13942,Modified,,,,
lightning,Closed,#13942,Modified,,,,
lightning,Closed,#13942,Solved,,,,
lightning,Closed,#13942,Modified,,,,
lightning,Closed,#13942,Solved,,,,
lightning,Closed,#13772,Commented,,,,
lightning,Closed,#13772,Commented,,,,
lightning,Closed,#13772,Commented,,,,
lightning,Closed,#13772,Modified,,,,
lightning,Closed,#13772,Modified,,,,
lightning,Closed,#13772,Modified,,,,
lightning,Closed,#13772,Closed,,,,
firefox-voice,Open,#1908,Commented,,,,
firefox-voice,Open,#1908,Commented,,,,
firefox-voice,Open,#1913,Commented,,,,
firefox-voice,Open,#1913,Commented,,,,
firefox-voice,Open,#1913,Commented,,,,
firefox-voice,Open,#1913,Commented,,,,
firefox-voice,Open,#1913,Commented,,,,
firefox-voice,Open,#1913,Commented,,,,
firefox-voice,Open,#1913,Commented,,,,
lightning,Closed,#13335,Commented,,,,
lightning,Closed,#13335,Commented,,,,
lightning,Closed,#13335,Commented,,,,
lightning,Closed,#13335,Commented,,,,
lightning,Closed,#13335,Commented,,,,
lightning,Closed,#13335,Commented,,,,
lightning,Closed,#13335,Commented,,,,
lightning,Closed,#13335,Commented,,,,
lightning,Closed,#13335,Commented,,,,
lightning,Closed,#13335,Commented,,,,
lightning,Closed,#13335,Commented,,,,
lightning,Closed,#13335,Commented,,,,
lightning,Closed,#13335,Commented,,,,
lightning,Closed,#13335,Commented,,,,
lightning,Closed,#13335,Commented,,,,
lightning,Closed,#13335,Commented,,,,
lightning,Closed,#13335,Modified,,,,
lightning,Closed,#13335,Modified,,,,
lightning,Closed,#13335,Modified,,,,
lightning,Closed,#13335,Solved,,,,
lightning,Closed,#13335,Modified,,,,
lightning,Closed,#13335,Closed,,,,
firefox-voice,Open,#1898,Commented,,,,
firefox-voice,Open,#1907,Commented,,,,
firefox-voice,Open,#1893,Commented,,,,
firefox-voice,Open,#1900,Commented,,,,
firefox-voice,Open,#1900,Modified,,,,
firefox-voice,Open,#1897,Commented,,,,
firefox-voice,Open,#1896,Commented,,,,
firefox-voice,Closed,#1878,Commented,,,,
firefox-voice,Closed,#1878,Modified,,,,
firefox-voice,Closed,#1878,Closed,,,,
firefox-voice,Closed,#1878,Modified,,,,
firefox-voice,Open,#1876,Commented,,,,
firefox-voice,Open,#1876,Commented,,,,
firefox-voice,Open,#1876,Commented,,,,
firefox-voice,Open,#1876,Commented,,,,
firefox-voice,Open,#1828,Commented,,,,
firefox-voice,Closed,#1867,Commented,,,,
firefox-voice,Closed,#1867,Closed,,,,
firefox-voice,Open,#1869,Commented,,,,
firefox-voice,Open,#1869,Modified,,,,
firefox-voice,Open,#1843,Commented,,,,
firefox-voice,Open,#1843,Commented,,,,
firefox-voice,Open,#1843,Commented,,,,
firefox-voice,Closed,#1835,Commented,,,,
firefox-voice,Closed,#1835,Modified,,,,
firefox-voice,Closed,#1835,Closed,,,,
firefox-voice,Closed,#1839,Commented,,,,
firefox-voice,Closed,#1839,Modified,,,,
firefox-voice,Closed,#1839,Solved,,,,
firefox-voice,Closed,#1839,Solved,,,,
firefox-voice,Closed,#1839,Modified,,,,
firefox-voice,Open,#1808,Commented,,,,
firefox-voice,Open,#1808,Commented,,,,
firefox-voice,Open,#1808,Commented,,,,
firefox-voice,Open,#1826,Commented,,,,
firefox-voice,Open,#1826,Modified,,,,
firefox-voice,Closed,#1817,Commented,,,,
firefox-voice,Closed,#1817,Commented,,,,
firefox-voice,Closed,#1817,Commented,,,,
firefox-voice,Closed,#1817,Solved,,,,
firefox-voice,Closed,#1817,Solved,,,,
firefox-voice,Open,#1819,Commented,,,,
firefox-voice,Open,#1819,Commented,,,,
firefox-voice,Open,#1819,Modified,,,,
firefox-voice,Open,#1822,Commented,,,,
firefox-voice,Open,#1822,Commented,,,,
firefox-voice,Open,#1822,Commented,,,,
firefox-voice,Open,#1822,Commented,,,,
firefox-voice,Open,#1822,Commented,,,,
firefox-voice,Open,#1822,Commented,,,,
firefox-voice,Open,#1822,Commented,,,,
firefox-voice,Open,#1822,Commented,,,,
firefox-voice,Open,#1822,Modified,,,,
firefox-voice,Closed,#1792,Commented,,,,
firefox-voice,Closed,#1792,Commented,,,,
firefox-voice,Closed,#1792,Closed,,,,
firefox-voice,Closed,#1789,Commented,,,,
firefox-voice,Closed,#1789,Commented,,,,
firefox-voice,Closed,#1789,Commented,,,,
firefox-voice,Closed,#1789,Commented,,,,
firefox-voice,Closed,#1789,Modified,,,,
firefox-voice,Closed,#1789,Modified,,,,
firefox-voice,Closed,#1789,Modified,,,,
firefox-voice,Closed,#1789,Closed,,,,
firefox-voice,Closed,#1789,Modified,,,,
firefox-voice,Closed,#976,Commented,,,,
firefox-voice,Closed,#976,Commented,,,,
firefox-voice,Closed,#976,Modified,,,,
firefox-voice,Closed,#976,Closed,,,,
firefox-voice,Closed,#704,Commented,,,,
firefox-voice,Closed,#704,Commented,,,,
firefox-voice,Closed,#704,Commented,,,,
firefox-voice,Closed,#704,Modified,,,,
firefox-voice,Closed,#704,Modified,,,,
firefox-voice,Closed,#704,Modified,,,,
firefox-voice,Closed,#704,Solved,,,,
firefox-voice,Closed,#704,Solved,,,,
firefox-voice,Closed,#704,Modified,,,,
firefox-voice,Closed,#704,Modified,,,,
firefox-voice,Closed,#1327,Commented,,,,
firefox-voice,Closed,#1327,Commented,,,,
firefox-voice,Closed,#1327,Commented,,,,
firefox-voice,Closed,#1327,Modified,,,,
firefox-voice,Closed,#1327,Modified,,,,
firefox-voice,Closed,#1327,Solved,,,,
firefox-voice,Closed,#1327,Solved,,,,
firefox-voice,Closed,#1327,Modified,,,,
firefox-voice,Closed,#1327,Modified,,,,
firefox-voice,Closed,#514,Commented,,,,
firefox-voice,Closed,#514,Commented,,,,
firefox-voice,Closed,#514,Commented,,,,
firefox-voice,Closed,#514,Modified,,,,
firefox-voice,Closed,#514,Closed,,,,
firefox-voice,Closed,#514,Modified,,,,
firefox-voice,Closed,#514,Modified,,,,
firefox-voice,Closed,#514,Closed,,,,
firefox-voice,Closed,#1505,Commented,,,,
firefox-voice,Closed,#1505,Commented,,,,
firefox-voice,Closed,#1505,Commented,,,,
firefox-voice,Closed,#1505,Commented,,,,
firefox-voice,Closed,#1505,Commented,,,,
firefox-voice,Closed,#1505,Commented,,,,
firefox-voice,Closed,#1505,Commented,,,,
firefox-voice,Closed,#1505,Modified,,,,
firefox-voice,Closed,#1505,Modified,,,,
firefox-voice,Closed,#1505,Modified,,,,
firefox-voice,Closed,#1505,Solved,,,,
firefox-voice,Closed,#1505,Closed,,,,
firefox-voice,Closed,#1505,Modified,,,,
firefox-voice,Closed,#689,Commented,,,,
firefox-voice,Closed,#689,Commented,,,,
firefox-voice,Closed,#689,Commented,,,,
firefox-voice,Closed,#689,Commented,,,,
firefox-voice,Closed,#689,Commented,,,,
firefox-voice,Closed,#689,Modified,,,,
firefox-voice,Closed,#689,Modified,,,,
firefox-voice,Closed,#689,Modified,,,,
firefox-voice,Closed,#689,Solved,,,,
firefox-voice,Closed,#689,Solved,,,,
firefox-voice,Closed,#689,Modified,,,,
firefox-voice,Closed,#689,Modified,,,,
firefox-voice,Closed,#1329,Commented,,,,
firefox-voice,Closed,#1329,Commented,,,,
firefox-voice,Closed,#1329,Commented,,,,
firefox-voice,Closed,#1329,Commented,,,,
firefox-voice,Closed,#1329,Commented,,,,
firefox-voice,Closed,#1329,Modified,,,,
firefox-voice,Closed,#1329,Modified,,,,
firefox-voice,Closed,#1329,Modified,,,,
firefox-voice,Closed,#1329,Solved,,,,
firefox-voice,Closed,#1329,Closed,,,,
firefox-voice,Closed,#1329,Modified,,,,
firefox-voice,Closed,#1329,Modified,,,,
firefox-voice,Closed,#678,Commented,,,,
firefox-voice,Closed,#678,Commented,,,,
firefox-voice,Closed,#678,Commented,,,,
firefox-voice,Closed,#678,Commented,,,,
firefox-voice,Closed,#678,Commented,,,,
firefox-voice,Closed,#678,Commented,,,,
firefox-voice,Closed,#678,Modified,,,,
firefox-voice,Closed,#678,Modified,,,,
firefox-voice,Closed,#678,Modified,,,,
firefox-voice,Closed,#678,Modified,,,,
firefox-voice,Closed,#678,Closed,,,,
firefox-voice,Closed,#678,Modified,,,,
firefox-voice,Closed,#678,Modified,,,,
firefox-voice,Closed,#486,Commented,,,,
firefox-voice,Closed,#486,Commented,,,,
firefox-voice,Closed,#486,Commented,,,,
firefox-voice,Closed,#486,Commented,,,,
firefox-voice,Closed,#486,Modified,,,,
firefox-voice,Closed,#486,Modified,,,,
firefox-voice,Closed,#486,Closed,,,,
firefox-voice,Closed,#213,Commented,,,,
firefox-voice,Closed,#213,Closed,,,,
firefox-voice,Closed,#503,Commented,,,,
firefox-voice,Closed,#503,Commented,,,,
firefox-voice,Closed,#503,Commented,,,,
firefox-voice,Closed,#503,Commented,,,,
firefox-voice,Closed,#503,Commented,,,,
firefox-voice,Closed,#503,Modified,,,,
firefox-voice,Closed,#503,Closed,,,,
firefox-voice,Closed,#503,Modified,,,,
firefox-voice,Closed,#503,Modified,,,,
firefox-voice,Closed,#503,Modified,,,,
firefox-voice,Closed,#503,Modified,,,,
firefox-voice,Closed,#503,Modified,,,,
firefox-voice,Closed,#503,Modified,,,,
firefox-voice,Closed,#503,Modified,,,,
firefox-voice,Closed,#503,Closed,,,,
firefox-voice,Closed,#503,Modified,,,,
webcam-capture,Open,#704,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Commented,,,,
webcam-capture,Open,#632,Modified,,,,
webcam-capture,Open,#632,Modified,,,,
webcam-capture,Closed,#839,Commented,,,,
webcam-capture,Closed,#839,Commented,,,,
webcam-capture,Closed,#839,Closed,,,,
webcam-capture,Open,#847,Commented,,,,
webcam-capture,Closed,#172,Commented,,,,
webcam-capture,Closed,#172,Commented,,,,
webcam-capture,Closed,#172,Commented,,,,
webcam-capture,Closed,#172,Closed,,,,
webcam-capture,Closed,#320,Commented,,,,
webcam-capture,Closed,#320,Commented,,,,
webcam-capture,Closed,#320,Closed,,,,
webcam-capture,Closed,#320,Modified,,,,
webcam-capture,Open,#852,Commented,,,,
webcam-capture,Closed,#425,Commented,,,,
webcam-capture,Closed,#425,Commented,,,,
webcam-capture,Closed,#425,Commented,,,,
webcam-capture,Closed,#425,Commented,,,,
webcam-capture,Closed,#425,Commented,,,,
webcam-capture,Closed,#425,Commented,,,,
webcam-capture,Closed,#425,Commented,,,,
webcam-capture,Closed,#425,Commented,,,,
webcam-capture,Closed,#425,Commented,,,,
webcam-capture,Closed,#425,Commented,,,,
webcam-capture,Closed,#425,Commented,,,,
webcam-capture,Closed,#425,Modified,,,,
webcam-capture,Closed,#425,Closed,,,,
webcam-capture,Closed,#182,Commented,,,,
webcam-capture,Closed,#182,Commented,,,,
webcam-capture,Closed,#182,Commented,,,,
webcam-capture,Closed,#182,Commented,,,,
webcam-capture,Closed,#182,Commented,,,,
webcam-capture,Closed,#182,Commented,,,,
webcam-capture,Closed,#182,Commented,,,,
webcam-capture,Closed,#182,Commented,,,,
webcam-capture,Closed,#182,Commented,,,,
webcam-capture,Closed,#182,Commented,,,,
webcam-capture,Closed,#182,Closed,,,,
webcam-capture,Closed,#182,Modified,,,,
webcam-capture,Closed,#182,Modified,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Modified,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Commented,,,,
webcam-capture,Open,#601,Modified,,,,
webcam-capture,Open,#601,Modified,,,,
webcam-capture,Open,#858,Commented,,,,
webcam-capture,Open,#858,Commented,,,,
webcam-capture,Open,#853,Commented,,,,
webcam-capture,Open,#859,Commented,,,,
webcam-capture,Open,#854,Commented,,,,
webcam-capture,Open,#851,Commented,,,,
webcam-capture,Open,#851,Commented,,,,
webcam-capture,Open,#851,Commented,,,,
webcam-capture,Closed,#833,Commented,,,,
webcam-capture,Closed,#833,Commented,,,,
webcam-capture,Closed,#833,Closed,,,,
